,importance,stddev,p_value,n,p99_high,p99_low
f_26,5.756957615255365,1.661313467598923,0.000747256034232479,5,9.17762500683384,2.3362902236768903
f_1,2.6400767907147378,1.6646611511703906,0.011938881316161524,5,6.0676371090367685,-0.7874835276072925
f_25,0.15395757876181376,0.010705173922751393,2.787130873845602e-06,5,0.17599967982998646,0.13191547769364106
f_0,0.06905482815490918,0.015936670477927316,0.00031751698420890215,5,0.10186865293715562,0.03624100337266274
f_27,0.03058656159213976,0.0046911881090440965,6.437092739193454e-05,5,0.04024578274777173,0.020927340436507787
f_2,0.003031070814462934,0.0011523261819096592,0.002087953031604638,5,0.005403726349855316,0.0006584152790705526
f_5,0.0013362769338930338,0.00030526523495955565,0.0003052628428394565,5,0.001964822271888686,0.0007077315958973821
f_41,0.0011089866247864081,0.0003538959146222142,0.0010919324280393957,5,0.0018376632043548965,0.0003803100452179198
f_28,0.0010883333784140442,0.0003487554977020401,0.001109117430666107,5,0.0018064257684957817,0.0003702409883323065
f_38,0.0008423082403125753,0.0002299573892570539,0.0006052212291456317,5,0.0013157936831417348,0.0003688227974834159
f_19,0.0008240108511493996,0.00011156430833975267,3.9355896682744805e-05,5,0.0010537233040035594,0.0005942983982952397
f_53,0.0008214170133901341,7.52908555710716e-05,8.376180546074789e-06,5,0.0009764419256411833,0.000666392101139085
f_50,0.0008073776742555424,0.00026111896079642117,0.0011480554287694328,5,0.0013450252235829483,0.00026973012492813645
f_35,0.0007784664296246274,0.00010258175795385582,3.536010400598371e-05,5,0.0009896836870821855,0.0005672491721670693
f_4,0.0007369850364252209,0.0001069793472547099,5.181345267348577e-05,5,0.0009572569910343809,0.0005167130818160609
f_17,0.0007279610470935241,0.000193386836899333,0.0005453267701278629,5,0.0011261472171593871,0.0003297748770276612
f_12,0.0007065631066764111,6.101159700901289e-05,6.605742622292772e-06,5,0.0008321868281878543,0.0005809393851649679
f_51,0.0007065309629440796,0.0001671805664227124,0.00034966672387188653,5,0.0010507580598894306,0.00036230386599872875
f_31,0.0006943631902169053,0.00022686767958276756,0.001192632079647353,5,0.0011614868781223832,0.00022723950231142738
f_22,0.0006909915793443577,0.0001354003302195666,0.00016821161432661484,5,0.0009697827306978876,0.0004122004279908278
f_9,0.000661920866867767,0.00032612609376389,0.0052548330955674355,5,0.0013334190014692529,-9.577267733718747e-06
f_3,0.0006510186902286275,0.00011525235189329048,0.00011310266480505853,5,0.0008883248757337006,0.0004137125047235543
f_14,0.0006082604883841547,0.000760607673474733,0.07413132590260427,5,0.002174362200783873,-0.0009578412240155633
f_16,0.0005422688839350029,0.00023793725967730534,0.003500823528531734,5,0.0010321849902529903,5.235277761701557e-05
f_30,0.0005326326718055593,0.0001215914602961295,0.0003044334682105191,5,0.0007829911691278671,0.00028227417448325147
f_47,0.00048526023894537444,0.00013805037886341362,0.0007078854669883916,5,0.0007695078770841501,0.0002010126008065988
f_10,0.00046264918902723243,0.00015523140227285208,0.0013169235909822503,5,0.0007822727918330212,0.00014302558622144364
f_29,0.00041919544021740417,0.00014691042142895409,0.0015479349561225977,5,0.0007216860284574297,0.00011670485197737865
f_46,0.0004031237963415174,0.00034688222469523927,0.03006796894560603,5,0.0011173590914108677,-0.000311111498727833
f_7,0.00039245294987602793,0.00019101355194403664,0.005037483817575909,5,0.0007857524934166517,-8.465936645958203e-07
f_44,0.00038782671609016023,0.00024961695134010384,0.01274358583085566,5,0.0009017914689723438,-0.00012613803679202334
f_23,0.0003863756458253861,0.00022677316041113906,0.009471632102705858,5,0.0008533047174500872,-8.055342579931494e-05
f_42,0.0003793883932816447,0.00019695815325541596,0.006286911394389852,5,0.0007849279530855202,-2.6151166522230766e-05
f_52,0.00037388269573776224,7.440238168884435e-05,0.00017864753625469363,5,0.0005270782279852914,0.0002206871634902331
f_15,0.0003654094689557033,0.0003666914784066604,0.04489260824351798,5,0.0011204322912098524,-0.00038961335329844575
f_11,0.0003479717378651673,0.00022818159016968793,0.013514283944920323,5,0.0008178007858292885,-0.00012185731009895396
f_20,0.000347494739442418,0.00013932896429057705,0.0025337199136753895,5,0.0006343750026476518,6.0614476237184195e-05
f_32,0.00034412698346131807,0.00022548438906511628,0.013481248158999945,5,0.0008084024570718453,-0.00012014849014920913
f_36,0.0003256619007816028,0.0001564927915935671,0.004818961675680075,5,0.000647882721632997,3.44107993020858e-06
f_43,0.0003059016777652038,6.0563611950001424e-05,0.00017512064334592744,5,0.0004306029918483309,0.0001812003636820767
f_24,0.000303842239366145,0.000462698694679503,0.10796151617298949,5,0.001256545246886823,-0.0006488607681545332
f_40,0.00030075127715092074,5.784191126661634e-05,0.00015638716145021652,5,0.0004198485719090568,0.00018165398239278465
f_6,0.0002975474183088994,0.0001882098205004128,0.012060011726798948,5,0.000685074040055415,-8.997920343761616e-05
f_33,0.0002730612887714895,8.630106311405089e-05,0.001053100499340434,5,0.0004507563705307732,9.536620701220577e-05
f_39,0.00026462896223766323,0.00017807836212208812,0.01465017654672857,5,0.0006312947711515722,-0.00010203684667624573
f_34,0.0002527203948610099,0.0001252016979123032,0.005355612947484922,5,0.000510512421333806,-5.0716316117862485e-06
f_48,0.0002366643054339687,5.618169342009419e-05,0.00035406423426387725,5,0.0003523431886994665,0.00012098542216847094
f_49,0.000224901281198564,7.645610683574659e-05,0.001382731772736984,5,0.00038232546190906296,6.747710048806506e-05
f_8,0.00022482681097150264,0.00022687907007670868,0.04551617420276666,5,0.0006919739520614386,-0.00024232033011843337
f_21,0.000188902177759509,0.00015270731019487253,0.025267212832442022,5,0.0005033286400900779,-0.00012552428457105993
f_18,0.0001515372488468253,0.00015071635692377112,0.043907766464785336,5,0.00046186431087429786,-0.00015878981318064728
f_54,0.00011240257784251723,0.00019314998052767318,0.13152898400695634,5,0.0005101010573654297,-0.0002852959016803952
f_37,0.00010502402199923378,0.00036634725913943283,0.27819211552410533,5,0.0008593380920245453,-0.0006492900480260776
f_45,7.102215213391771e-05,0.00028838059016346863,0.30557547502329485,5,0.0006648017731238347,-0.0005227574688559994
f_13,1.3994641458286993e-05,8.951058466728249e-05,0.372134167472546,5,0.00019829817245597663,-0.00017030888953940265
