,importance,stddev,p_value,n,p99_high,p99_low
f_4,3.1557759024855123,0.12770681857569138,3.211184635112371e-07,5,3.418726007028672,2.892825797942353
f_33,1.6197630622357202,0.09862196005478001,1.6410664452793815e-06,5,1.822827041088858,1.4166990833825823
f_1,1.5589385884512716,0.0816220327795522,8.984814865604779e-07,5,1.7269994820807506,1.3908776948217927
f_32,1.186519552973758,0.20694804421451907,0.00010668752133593135,5,1.612628436337393,0.7604106696101229
f_30,0.8819073269637613,0.06426045677407914,3.3588954404222558e-06,5,1.0142204956354899,0.7495941582920327
f_34,0.8510854210300096,0.11352954670958622,3.710993203216684e-05,5,1.0848443268501375,0.6173265152098817
f_31,0.788960772468091,0.09620627579613779,2.601426753181235e-05,5,0.9870508240443799,0.5908707208918021
f_2,0.7739328828259965,0.06713513033387503,6.727018576198948e-06,5,0.9121650440895558,0.6357007215624372
f_3,0.767712048657803,0.019647129893505238,5.142865085360951e-08,5,0.8081657606607234,0.7272583366548825
f_0,0.5596059120240046,0.07099978401539078,3.043799230994181e-05,5,0.7057954486329951,0.41341637541501397
f_10,0.027459929245078268,0.004045470940181356,5.492820841868909e-05,5,0.035789609825262136,0.019130248664894395
f_29,0.024208116237862214,0.003246828919987126,3.791661775149334e-05,5,0.03089338186006039,0.01752285061566404
f_24,0.02098606129386971,0.008898320306122597,0.0030984731466827528,5,0.03930782579203279,0.0026642967957066256
f_43,0.018768349082489987,0.004966504856965397,0.0005372572020149591,5,0.028994451227373763,0.008542246937606211
f_49,0.018570424571176837,0.0022167990167121436,2.3910708839933493e-05,5,0.02313484438600563,0.014006004756348046
f_39,0.017573165921109506,0.0048502587419322184,0.0006309111868678431,5,0.027559915708447912,0.0075864161337711004
f_41,0.017255500113274404,0.004150171375407367,0.0003723571093646475,5,0.025800760336702436,0.008710239889846373
f_38,0.01631440004724885,0.003017532919316238,0.00013426106787752727,5,0.022527542034858142,0.010101258059639559
f_21,0.015293749839039288,0.0022202565370493033,5.1836001183280284e-05,5,0.0198652887360303,0.010722210942048274
f_6,0.015130887315418451,0.004316884047182047,0.0007156193038231835,5,0.02401941123424454,0.00624236339659236
f_51,0.014335706624079653,0.0013668017448670213,9.796736405479684e-06,5,0.017149970307968547,0.011521442940190757
f_45,0.013666198834649132,0.002980208995192522,0.00025499387723244143,5,0.019802490346616238,0.007529907322682026
f_13,0.013640748454502536,0.0022629545476361207,8.765179650235666e-05,5,0.01830020314544103,0.008981293763564043
f_54,0.013092326011804262,0.001245535048707381,9.712142921481681e-06,5,0.015656899892216598,0.010527752131391925
f_18,0.012559192489504697,0.0015322093085063395,2.6063754500363596e-05,5,0.015714032633102434,0.009404352345906962
f_8,0.01246189083518737,0.0012232660159123972,1.0999428005400426e-05,5,0.014980612469284093,0.009943169201090648
f_36,0.012451111390861405,0.003451486965631969,0.0006414135820530357,5,0.019557770757717106,0.005344452024005704
f_46,0.012384549093490013,0.002379269672542604,0.00015572543519651972,5,0.017283498234256827,0.007485599952723199
f_48,0.012076775256475289,0.0038328193483294273,0.0010697080877527616,5,0.019968603269878694,0.004184947243071883
f_47,0.01185079419641083,0.0012129176282649997,1.2985989320401897e-05,5,0.014348208357311643,0.009353380035510016
f_16,0.011313935616160046,0.0024345623932915117,0.00024213761033242787,5,0.016326733233175475,0.006301137999144614
f_12,0.010990172187666836,0.002837086516595306,0.000488672221337884,5,0.0168317725380394,0.005148571837294274
f_7,0.010833808113913674,0.005357464485510791,0.005322036895759096,5,0.02186490153760873,-0.000197285309781383
f_5,0.010580925613376854,0.0023308515259344953,0.00026518865526432817,5,0.01538018112106767,0.00578167010568604
f_37,0.009879433587830652,0.001165839029290542,2.2844750746208788e-05,5,0.012279912262747671,0.007478954912913634
f_11,0.008922285880255027,0.0014116339442981228,7.27457254876422e-05,5,0.011828859682419408,0.006015712078090646
f_20,0.008808708710216042,0.0018278503050672887,0.00021026352930458446,5,0.012572277751925588,0.005045139668506497
f_28,0.008790560189854893,0.0010716292105563902,2.5985812432528397e-05,5,0.010997059545880221,0.006584060833829565
f_25,0.008448974315201068,0.0027035975103915978,0.001103191068588366,5,0.014015718956786058,0.002882229673616078
f_35,0.008244062827398946,0.001367750871197286,8.767405822139496e-05,5,0.011060280775520178,0.005427844879277715
f_53,0.008182258866902293,0.0012498266732644664,6.334265680527223e-05,5,0.010755669261594223,0.0056088484722103624
f_9,0.007716889188570814,0.0015968822191385565,0.00020802029589443588,5,0.011004891749034903,0.004428886628106725
f_23,0.0076252029816294645,0.0017225029173635414,0.00029230058172000317,5,0.011171860296001361,0.004078545667257568
f_40,0.007513053916222612,0.00110141128955942,5.387284022960691e-05,5,0.009780874984547255,0.00524523284789797
f_26,0.007501398581895036,0.0010339831292420238,4.224191375373531e-05,5,0.009630384136169944,0.005372413027620128
f_22,0.007399785342193208,0.002098586702398898,0.0006995474607093044,5,0.011720804367983211,0.003078766316403204
f_50,0.007056216021769565,0.0004141985782871966,1.418193772203381e-06,5,0.007909056619295638,0.0062033754242434925
f_19,0.006422804861218856,0.0008130483600184026,3.0166523533842935e-05,5,0.008096882672019303,0.0047487270504184085
f_42,0.006379759459737802,0.00046543923426488353,3.3755162351028207e-06,5,0.007338105276143061,0.005421413643332543
f_14,0.006059063552415406,0.0005500491684521252,8.061356275317172e-06,5,0.007191622392745763,0.004926504712085049
f_44,0.006029998215028332,0.000889004450371389,5.508656441212389e-05,5,0.007860470665690313,0.0041995257643663506
f_52,0.0053533745137115205,0.0008818977349589952,8.526881111297985e-05,5,0.007169214139114137,0.0035375348883089036
f_27,0.005246658237845042,0.0010673351285172287,0.0001946531774190253,5,0.007444316019601214,0.003049000456088869
f_15,0.005021613567867003,0.0011889983216731616,0.0003505477214894527,5,0.007469777545895272,0.002573449589838734
f_17,0.004992605162239053,0.001856744266616972,0.001926432561850145,5,0.008815667270136385,0.0011695430543417202
