,importance,stddev,p_value,n,p99_high,p99_low
f_4,6.2862704595616155,1.2732888402207347,0.00019139278682709144,5,8.907989780298111,3.6645511388251193
f_1,3.8017374122935808,0.5103400796840998,3.804768503054761e-05,5,4.852534690012641,2.7509401345745204
f_3,2.209616232679593,0.41203532483881644,0.00013860533377994827,5,3.058002661456111,1.361229803903075
f_21,1.6560001007785534,0.13965885366222217,6.0132102299580925e-06,5,1.94355961075956,1.3684405907975468
f_23,1.2916177561422661,0.1951719405753242,6.070260469192902e-05,5,1.6934794793497496,0.8897560329347826
f_20,1.1579010013402444,0.15008395658241053,3.3125783127128906e-05,5,1.466925942324154,0.8488760603563349
f_22,1.1345130959876208,0.15641711193953828,4.2281712486981005e-05,5,1.4565780913853656,0.812448100589876
f_2,0.9927514360180082,0.15313925793887478,6.58431392141332e-05,5,1.3080672847236299,0.6774355873123864
f_0,0.9106606879792984,0.16853113469784395,0.00013455477083555424,5,1.2576686236699826,0.5636527522886143
f_24,0.7609400753017612,0.18024587181708163,0.0003510988826133719,5,1.1320688166358295,0.38981133396769296
f_11,0.03433079374090616,0.0026623532923748233,4.305604637787463e-06,5,0.03981261596753894,0.028848971514273382
f_5,0.034064306155944045,0.011463446479221366,0.0013315429241739763,5,0.057667700898328914,0.010460911413559176
f_39,0.02926265385559996,0.0060511608799878654,0.00020745167770900983,5,0.0417220777434264,0.016803229967773517
f_9,0.028556932036852813,0.005004812185306561,0.00010871924131517849,5,0.03886190950025459,0.018251954573451037
f_14,0.027076587848651783,0.010190098920344368,0.0020121142635514395,5,0.048058142367775336,0.006095033329528231
f_43,0.02672205737941971,0.0024200549036266865,7.984874163862738e-06,5,0.03170498387470045,0.021739130884138973
f_13,0.02641107318459803,0.010451910590474837,0.0024164019892125165,5,0.047931701551142056,0.004890444818054011
f_7,0.02609125908983261,0.007248913609801614,0.000646944770958344,5,0.04101687240304756,0.01116564577661765
f_37,0.024616185874961886,0.007112222759563895,0.0007506951812044717,5,0.03926035083826905,0.009972020911654719
f_51,0.02365098994390737,0.005278402577433851,0.00027892566615342655,5,0.03451929380612031,0.012782686081694429
f_10,0.023466453098775025,0.006426365459473844,0.0006123895067006753,5,0.03669842840164149,0.010234477795908558
f_15,0.02293859418685564,0.007965669229282534,0.0014962776481416923,5,0.03934001722719726,0.0065371711465140245
f_38,0.021429500641433008,0.008566905900449492,0.0025068107684209262,5,0.0390688782976813,0.003790122985184722
f_18,0.021415903466788816,0.006412296003714615,0.0008591743785313648,5,0.03461890956578648,0.008212897367791147
f_46,0.02112989158287041,0.007262665262061965,0.0014404068983765606,5,0.03608381973815746,0.006175963427583357
f_53,0.020992189042970767,0.006133075046425325,0.0007830418269441323,5,0.03362027533166603,0.0083641027542755
f_12,0.02076311173046903,0.0035845981555798455,0.00010249635525604882,5,0.02814384887721957,0.01338237458371849
f_42,0.020743838625089252,0.0026571246882378186,3.161045498933675e-05,5,0.02621489508353695,0.015272782166641555
f_36,0.020575903651530326,0.004885841605325351,0.0003544366333430917,5,0.03063591904640263,0.010515888256658022
f_17,0.01981722211054996,0.0034171748008024147,0.00010201278200321962,5,0.02685323225577709,0.012781211965322828
f_29,0.01975066719950546,0.004672273497112772,0.00034933117753835856,5,0.029370942907743114,0.010130391491267805
f_30,0.01960520054682341,0.009635645565410375,0.005210294050591622,5,0.03944512794477811,-0.00023472685113129152
f_27,0.019473313035626032,0.0017288043050449945,7.376579886543264e-06,5,0.023032944994328473,0.01591368107692359
f_26,0.019320729049298786,0.004257850869895459,0.00026560541477999017,5,0.028087702840166574,0.010553755258430999
f_52,0.019106419539961235,0.003878400389404319,0.00019301166306291264,5,0.02709209954693478,0.01112073953298769
f_32,0.018985421120521522,0.0028491745596153782,5.908082123349945e-05,5,0.024851910918546924,0.01311893132249612
f_8,0.018399627942239417,0.004539604362019256,0.0004107388508692289,5,0.027746736067637206,0.009052519816841628
f_16,0.018300751925368692,0.0036601814484253634,0.00018218017405773624,5,0.02583711611676028,0.010764387733977105
f_19,0.01786714017919252,0.004176230184302496,0.0003335085413291314,5,0.026466055850306633,0.009268224508078403
f_31,0.0176957866519171,0.0033757995920960355,0.00015150375105522402,5,0.02464660467055164,0.010744968633282562
f_34,0.01625446601458923,0.0010496945608332328,2.0755401270620475e-06,5,0.0184158016236655,0.014093130405512962
f_6,0.015638995167233966,0.004693995547105382,0.0008671037211495693,5,0.025303996876637043,0.00597399345783089
f_50,0.015522091320350817,0.009469897015482637,0.010741462061080516,5,0.03502074016311589,-0.003976557522414256
f_44,0.015395421619172933,0.0038527568823021295,0.000433790256348011,5,0.023328301290592136,0.007462541947753729
f_25,0.014840651923020759,0.0053549789619476516,0.0017239788293545956,5,0.025866627619345724,0.003814676226695792
f_41,0.014673270506095255,0.0037424787968572334,0.0004666058479364332,5,0.022379086075378297,0.0069674549368122125
f_49,0.014268009846431385,0.002751410897999328,0.00015802195611048798,5,0.01993320291395194,0.008602816778910833
f_45,0.013971695661702399,0.0014066581197921546,1.216444174142794e-05,5,0.016868024172435787,0.01107536715096901
f_35,0.013234957579877332,0.008028784752950694,0.010546105982399896,5,0.02976633635580093,-0.003296421196046267
f_33,0.011698172668729417,0.002755907239545516,0.0003437907780548726,5,0.017372623765639614,0.006023721571819219
f_40,0.009407202612003219,0.0071646939657799905,0.021280381244365987,5,0.02415940651413847,-0.0053450012901320315
f_54,0.008512491034164182,0.002648303136116997,0.0009925653348712062,5,0.013965383794868301,0.0030595982734600647
f_28,0.007087738701598761,0.0044639166492955774,0.01189507732739716,5,0.01627900478038314,-0.002103527377185615
f_48,0.006509799142837702,0.002709376647145373,0.002898646107490394,5,0.012088443106874874,0.0009311551788005294
f_47,0.00564519490715667,0.0035920188325578887,0.012289321076920302,5,0.013041211330369656,-0.0017508215160563162
