,importance,stddev,p_value,n,p99_high,p99_low
f_4,2.414884332566533,0.4660902044814628,0.0001585648667417555,5,3.374570505645093,1.4551981594879724
f_1,1.3039719768259979,0.2724178601990415,0.00021586930338576366,5,1.864884116190785,0.7430598374612107
f_3,0.8199842468919604,0.12475046549538873,6.235087895850895e-05,5,1.0768471795816348,0.563121314202286
f_7,0.5598998761478906,0.05051966891534265,7.868320247159584e-06,5,0.6639205727006098,0.4558791795951714
f_5,0.3819301978989544,0.04584751826804011,2.444612861221462e-05,5,0.4763308716928932,0.2875295241050156
f_8,0.3189209665987951,0.05353153345447231,9.177972398496652e-05,5,0.4291431338659741,0.2086987993316161
f_9,0.2264766760908523,0.0282572808925221,2.8487067879346966e-05,5,0.2846588080056821,0.16829454417602252
f_2,0.20510505149162944,0.05007393507980061,0.00039443336307340865,5,0.30820797591627125,0.10200212706698761
f_0,0.20195702576149205,0.05676673608311184,0.000676241407226259,5,0.3188405199562921,0.085073531566692
f_6,0.13802279229580852,0.013941321873944259,1.232278752660296e-05,5,0.16672816672380533,0.10931741786781171
f_51,0.019524190536155506,0.007718976032635123,0.002407880210472647,5,0.035417668874937774,0.0036307121973732336
f_13,0.015553041902525887,0.0046849970710501915,0.00087894127373064,5,0.02519951562535917,0.0059065681796926055
f_10,0.013848123604741192,0.0058714240574989415,0.0030978456356067835,5,0.02593746689083605,0.001758780318646333
f_50,0.012958878557491605,0.010316654893719688,0.024189152291230785,5,0.03420101357498438,-0.008283256460001172
f_14,0.011645563177345154,0.005547695740652614,0.004675350382798708,5,0.023068345384652585,0.00022278097003772084
f_39,0.011311785413879472,0.009900451378776275,0.031491206195973766,5,0.031696951641559855,-0.00907338081380091
f_16,0.01111693836710943,0.0029935983318395637,0.0005743146099073835,5,0.017280798708293094,0.0049530780259257655
f_37,0.01106584855497803,0.002196119507860809,0.00017676520301532559,5,0.015587688975260737,0.006544008134695323
f_32,0.010677389477809695,0.004359753530007083,0.0027058672017769222,5,0.019654182254291754,0.0017005967013276353
f_43,0.01014768584064416,0.003225284478003983,0.0010755773235454431,5,0.01678859115902321,0.0035067805222651124
f_54,0.009341903694469411,0.0034895930450200238,0.001957811118482765,5,0.016527024005467104,0.0021567833834717177
f_18,0.009233677812602203,0.005061804631777731,0.007555374558625825,5,0.019656003511007443,-0.0011886478858030344
f_34,0.008920056123047337,0.006342236859609561,0.017341474262014333,5,0.021978809476012426,-0.00413869722991775
f_21,0.00872162677599746,0.0036575415992318736,0.002978544348334472,5,0.016252555481413057,0.0011906980705818637
f_52,0.007932694066340095,0.005077967493347119,0.012525720776432842,5,0.01838829932011119,-0.0025229111874309988
f_35,0.007918562221050206,0.002149662058319938,0.0005923289733956217,5,0.01234474611061807,0.0034923783314823424
f_23,0.0067126267676278495,0.004235066144965716,0.011961534550533857,5,0.01543268649494693,-0.002007432959691231
f_45,0.006523754602557474,0.0036097033909675527,0.007794226255611709,5,0.01395618377596253,-0.0009086745708475827
f_27,0.0061469818047364955,0.008464818979823548,0.0898719663537783,5,0.023576161080424773,-0.011282197470951782
f_12,0.006052493041155205,0.00400806496954829,0.013935980666853526,5,0.014305154210800138,-0.002200168128489728
f_20,0.00592287440615522,0.002238530652748873,0.002043644487267678,5,0.010532039959946768,0.001313708852363672
f_48,0.00562860931847804,0.004473534530074447,0.0240744384995077,5,0.014839678746719348,-0.003582460109763268
f_19,0.005348954659827631,0.0028736925149756886,0.00706051297136847,5,0.011265927266814066,-0.0005680179471588042
f_44,0.005270018069684168,0.004803816682599909,0.03510627690722182,5,0.015161143014959874,-0.004621106875591538
f_28,0.005225912495582264,0.004194974173486448,0.024767223898535473,5,0.013863422299495599,-0.0034115973083310713
f_15,0.004600469838585952,0.007708443750486743,0.12646887017384026,5,0.020472262062853103,-0.011271322385681197
f_38,0.0036628868277034155,0.005962663034797794,0.12075699007740295,5,0.01594009242911329,-0.00861431877370646
f_36,0.0034475074322419365,0.0023678871862783924,0.015605290049743132,5,0.008323019876468059,-0.0014280050119841866
f_33,0.0033721049303508054,0.0017382122381038576,0.0061364127743170314,5,0.006951107953252898,-0.00020689809255128788
f_29,0.0033336187738574274,0.003559721381221133,0.05217664495328189,5,0.010663134298369816,-0.003995896750654962
f_46,0.002998060712204631,0.004261699583517649,0.09540736963967969,5,0.011772959057615382,-0.005776837633206121
f_42,0.0029171280552185764,0.0036310905627948893,0.07342603962990878,5,0.010393593711018249,-0.004559337600581095
f_17,0.0024023727285255704,0.01116806816887997,0.32782109948161897,5,0.0253975794473554,-0.02059283399030426
f_22,0.0019322661651923756,0.005965883351978355,0.254507791363786,5,0.01421610244418654,-0.010351570113801788
f_31,0.0018912443721303962,0.0060608561141923915,0.26188320995645176,5,0.014370630881186333,-0.01058814213692554
f_40,0.0014482031696885888,0.005316034610942624,0.2876620577564971,5,0.01239399190902607,-0.009497585569648893
f_53,0.0013386053245491246,0.00842784461776879,0.37020370827698024,5,0.01869165387772666,-0.016014443228628415
f_30,0.001154965554419607,0.0014156968156819863,0.0710869670633092,5,0.004069904864918213,-0.0017599737560789986
f_24,0.00044603185045362094,0.0038256784276158107,0.4035971931211849,5,0.008323156609409675,-0.007431092908502434
f_47,0.00014868796231186642,0.002392219102973142,0.4480902702899891,5,0.005074300159315307,-0.0047769242346915744
f_26,-0.0001541437031183257,0.004082968622836192,0.5316098154808523,5,0.008252745123924904,-0.008561032530161557
f_41,-0.0008104547507062243,0.005592110776132461,0.6189384030675713,5,0.01070377862853524,-0.01232468812994769
f_49,-0.001301453816048448,0.004800096724616604,0.7114698964049777,5,0.00858201168432435,-0.011184919316421247
f_11,-0.0031290077645705905,0.00431807995890455,0.909760591062909,5,0.005761978553021392,-0.012019994082162573
f_25,-0.004186018164036099,0.0079261331297031,0.8484741758066059,5,0.012133999500824498,-0.020506035828896693
