,importance,stddev,p_value,n,p99_high,p99_low
f_1,0.18369073654572649,0.08864202831210742,0.004889842542606991,5,0.3662058980033861,0.0011755750880668991
f_0,0.08712541851601294,0.07210655759855399,0.026996448123441364,5,0.2355938172299731,-0.06134298019794723
f_35,0.034346824969999454,0.03257760726819649,0.0389373553995729,5,0.10142456860559909,-0.032730918665600184
f_36,0.02013543851621753,0.007624678734305905,0.0020579726287624452,5,0.03583475741441278,0.004436119618022285
f_37,0.015258438705584609,0.009980821151009785,0.013409199361503546,5,0.03580908740512209,-0.005292209993952872
f_41,0.013455796737852221,0.006754276082011498,0.005603127037829638,5,0.027362944544730164,-0.00045135106902572004
f_29,0.007839825945634482,0.0030364452547440722,0.0022345389007579226,5,0.014091908693285938,0.0015877431979830266
f_26,0.0021206878191660115,0.0015083267822125603,0.01735886199796193,5,0.005226353511033264,-0.0009849778727012404
f_12,0.0018218691185087899,1.824094024314429e-05,1.2057114510800067e-09,5,0.0018594274665860108,0.001784310770431569
f_38,0.0010175305347495556,0.000722222668163265,0.017250899748690072,5,0.002504596990675807,-0.0004695359211766958
f_13,0.00031391503035012037,0.0003707419839608292,0.06562284834209096,5,0.0010772778995242391,-0.00044944783882399833
f_11,0.00014012315778022533,0.00029382254754049727,0.1731707340078625,5,0.0007451078442252886,-0.00046486152866483793
f_6,0.00013596288036770153,0.0007354906112434575,0.3502713313811804,5,0.001650348214478531,-0.0013784224537431277
f_5,2.9653934834161787e-05,0.00025624675072567364,0.4042926669616169,5,0.0005572695362847991,-0.0004979616666164755
f_33,0.0,0.0,0.5,5,0.0,0.0
f_34,0.0,0.0,0.5,5,0.0,0.0
f_39,0.0,0.0,0.5,5,0.0,0.0
f_40,0.0,0.0,0.5,5,0.0,0.0
f_44,0.0,0.0,0.5,5,0.0,0.0
f_42,0.0,0.0,0.5,5,0.0,0.0
f_43,0.0,0.0,0.5,5,0.0,0.0
f_31,0.0,0.0,0.5,5,0.0,0.0
f_45,0.0,0.0,0.5,5,0.0,0.0
f_46,0.0,0.0,0.5,5,0.0,0.0
f_47,0.0,0.0,0.5,5,0.0,0.0
f_48,0.0,0.0,0.5,5,0.0,0.0
f_50,0.0,0.0,0.5,5,0.0,0.0
f_51,0.0,0.0,0.5,5,0.0,0.0
f_52,0.0,0.0,0.5,5,0.0,0.0
f_53,0.0,0.0,0.5,5,0.0,0.0
f_32,0.0,0.0,0.5,5,0.0,0.0
f_27,0.0,0.0,0.5,5,0.0,0.0
f_30,0.0,0.0,0.5,5,0.0,0.0
f_17,0.0,0.0,0.5,5,0.0,0.0
f_2,0.0,0.0,0.5,5,0.0,0.0
f_3,0.0,0.0,0.5,5,0.0,0.0
f_4,0.0,0.0,0.5,5,0.0,0.0
f_7,0.0,0.0,0.5,5,0.0,0.0
f_8,0.0,0.0,0.5,5,0.0,0.0
f_9,0.0,0.0,0.5,5,0.0,0.0
f_15,0.0,0.0,0.5,5,0.0,0.0
f_54,0.0,0.0,0.5,5,0.0,0.0
f_19,0.0,0.0,0.5,5,0.0,0.0
f_20,0.0,0.0,0.5,5,0.0,0.0
f_21,0.0,0.0,0.5,5,0.0,0.0
f_22,0.0,0.0,0.5,5,0.0,0.0
f_23,0.0,0.0,0.5,5,0.0,0.0
f_24,0.0,0.0,0.5,5,0.0,0.0
f_25,0.0,0.0,0.5,5,0.0,0.0
f_10,-1.5520771270427502e-05,0.00010512932394457691,0.6210631725672086,5,0.00020094195977312927,-0.00023198350231398428
f_14,-8.787777270047314e-05,3.2784220547774755e-05,0.9980513116274182,5,-2.037460946652284e-05,-0.00015538093593442343
f_16,-0.00012986046099929815,4.2876435566871864e-05,0.9987597220805158,5,-4.15772875517917e-05,-0.0002181436344468046
f_49,-0.00013575933715870292,0.00022901823905388278,0.8721814003058984,5,0.00033579238242169193,-0.0006073110567390977
f_18,-0.0003842742961539969,0.0002989115080887406,0.9773717391347944,5,0.00023118863039680882,-0.0009997372227048026
f_28,-0.004441314048258293,0.005878557535685968,0.9167924595022372,5,0.0076627171680188,-0.016545345264535386
