,importance,stddev,p_value,n,p99_high,p99_low
f_4,4.764681970394184,1.5617758212286814,0.0012070704148120994,5,7.980399972339855,1.548963968448513
f_48,2.9980697935334346,0.6270188704996882,0.000216782360743181,5,4.28911031421406,1.7070292728528087
f_1,1.6269280948653944,0.3501343634787694,0.00024226567110783312,5,2.347859588639368,0.9059966010914206
f_3,1.5166367847808688,0.3397392818097529,0.0002829603578599409,5,2.2161646617230404,0.8171089078386974
f_44,1.191430035771564,0.4222861238341741,0.0016139074705295747,5,2.0609230013606217,0.32193707018250595
f_47,1.0379551501160464,0.48698621265207226,0.004433281411411158,5,2.0406664928314173,0.035243807400675786
f_32,0.9061106366814282,0.3433755891850018,0.002063656987861011,5,1.613125720768346,0.19909555259451028
f_0,0.6973914557996383,0.13531734369131965,0.00016188110805008565,5,0.976011736744512,0.4187711748547646
f_33,0.3950573766393704,0.10894692649011685,0.0006289222089861636,5,0.6193806040890685,0.17073414918967234
f_2,0.3562691745554627,0.09374347708328233,0.0005257367245777169,5,0.5492882895424865,0.16325005956843885
f_49,0.3546709799002171,0.09226011332783744,0.0005031913294907632,5,0.5446358284125141,0.16470613138792017
f_43,0.2604700869508031,0.0911527902809524,0.0015397261899085621,5,0.44815494200473277,0.07278523189687341
f_9,0.18466519576980434,0.11038175404061433,0.0100529190119488,5,0.41194275297740096,-0.04261236143779229
f_39,0.17324775882452742,0.07314182305326529,0.0030508506906490557,5,0.3238477834186274,0.022647734230427458
f_51,0.1596992314255073,0.04575134437185265,0.000726932402849009,5,0.2539018818379316,0.06549658101308299
f_29,0.14573806321565633,0.01839015417146342,2.9789705390217553e-05,5,0.18360364483364197,0.10787248159767068
f_27,0.1435949090069421,0.036194930784670204,0.00044595651792017323,5,0.2181207717596853,0.0690690462541989
f_30,0.1351060560506657,0.042504012614480266,0.001035045041421889,5,0.22262240549176562,0.04758970660956577
f_45,0.11720757244976003,0.014979468753588923,3.1328875826585e-05,5,0.14805050565165995,0.08636463924786013
f_25,0.1137555622333378,0.04955097821311849,0.003411194504523819,5,0.21578171124144913,0.01172941322522647
f_21,0.1059858063685212,0.02455586325810042,0.0003223661061118646,5,0.1565466682150483,0.05542494452199408
f_42,0.10426020621023516,0.03828663280004472,0.0018389973223911207,5,0.18309291232302868,0.02542750009744163
f_8,0.09554769412091288,0.046224398086263246,0.004932974903472248,5,0.19072436866960574,0.0003710195722200077
f_7,0.09505659305458505,0.03566307181266449,0.00198938511779914,5,0.1684873508328963,0.021625835276273805
f_34,0.08827841877625217,0.03029469879228883,0.0014319789599538861,5,0.15065562230680962,0.025901215245694713
f_12,0.08762012405515221,0.011278161469278262,3.222445663314931e-05,5,0.11084201440115324,0.06439823370915118
f_38,0.0836198603305913,0.0278940747944027,0.0012887059246162729,5,0.14105414586935147,0.02618557479183111
f_28,0.07968869504781836,0.029570417568384452,0.0019108131912081066,5,0.14057459352772636,0.018802796567910375
f_5,0.07770754863693652,0.02644127791306506,0.0013874610586317659,5,0.1321505053172357,0.023264591956637333
f_19,0.07754928125293763,0.013133468031427687,9.50515900980224e-05,5,0.10459127345346612,0.05050728905240913
