,importance,stddev,p_value,n,p99_high,p99_low
f_1,1.084578453195873,0.22470861215403493,0.00020900647746284706,5,1.5472565914241074,0.6219003149676388
f_4,0.8677194105923067,0.10475069935549498,2.499768280395295e-05,5,1.083402548373796,0.6520362728108176
f_43,0.4450808132654158,0.0929330111325478,0.00021541341379262207,5,0.6364311676580474,0.2537304588727842
f_42,0.23023985673036984,0.03736477638526074,8.039148525073972e-05,5,0.3071744477437135,0.1533052657170262
f_40,0.14972013709461682,0.022292620521967826,5.7276318420855735e-05,5,0.19562095086610803,0.10381932332312561
f_2,0.14259251421950467,0.05625081517869277,0.002388753500617563,5,0.25841372014132113,0.0267713082976882
f_3,0.1319373566534869,0.010387592440691906,4.5728702236778576e-06,5,0.15332555306065657,0.11054916024631725
f_0,0.12489685094550299,0.030862138877710207,0.00041316610211790996,5,0.1884424214547985,0.06135128043620745
f_46,0.06112880643103891,0.017905444216599564,0.0007907148782285479,5,0.09799636355255635,0.024261249309521463
f_41,0.02998496580357928,0.011053504926486652,0.001865120681733229,5,0.05274428522288899,0.007225646384269573
f_39,0.029895221138105454,0.009616559368240308,0.0011250976554328636,5,0.04969584979228771,0.0100945924839232
f_45,0.020719585846444066,0.012878495494161042,0.011404417031571428,5,0.04723658606864557,-0.005797414375757436
f_38,0.014740454136564307,0.004276378151134796,0.0007624514839122633,5,0.02354557585557813,0.005935332417550485
f_29,0.009908146341560764,0.0030265137198036444,0.0009263958673643232,5,0.01613977992150148,0.003676512761620049
f_47,0.006709617867436646,0.002975211353781412,0.0036340759481993676,5,0.012835619166663531,0.0005836165682097608
f_17,0.005428790974794118,0.004035162407043715,0.01980750268112822,5,0.013737246142768519,-0.002879664193180283
f_5,0.005383071225793179,0.0014122279671291145,0.0005198056718028802,5,0.00829086812917684,0.0024752743224095188
f_31,0.004871399591501402,0.0018282088256834244,0.001991659485742331,5,0.008635706832114853,0.0011070923508879511
f_26,0.004695029440997334,0.0007516187895026181,7.619422948844915e-05,5,0.006242622917058888,0.0031474359649357802
f_54,0.004384638880804248,0.0015837868437452351,0.0017306911864751013,5,0.007645677882336164,0.001123599879272331
f_28,0.004261449392170991,0.002647098071585262,0.011381605500728247,5,0.009711860908348503,-0.001188962124006523
f_37,0.0040615762855162,0.0011443476307107772,0.0006823553447736822,5,0.006417803873714787,0.0017053486973176131
f_24,0.004004576792184622,0.0016380943832795755,0.002723566734001095,5,0.00737743576822771,0.0006317178161415341
f_52,0.0038012455732633565,0.001141943148381524,0.0008700083621361864,5,0.006152522299112534,0.0014499688474141795
f_12,0.00344161766418567,0.003683424843260926,0.05245826879550361,5,0.011025840326801538,-0.004142604998430197
f_20,0.0032151425209879124,0.0016697122094184425,0.0062943792246000045,5,0.006653103038055726,-0.00022281799607990057
f_10,0.003208624080621769,0.0014308859605663363,0.0037079069583899845,5,0.006154838050373543,0.0002624101108699944
f_7,0.003104422225090886,0.0018560442474248096,0.010060093310217842,5,0.006926042983796263,-0.0007171985336144908
f_23,0.00301736246531783,0.0004951634311385283,8.399047588663694e-05,5,0.004036910813917984,0.001997814116717676
f_48,0.002893944936712067,0.0012421190928438666,0.003236494611613464,5,0.0054514853167879004,0.00033640455663623385
f_14,0.002852386340889823,0.002433981032958149,0.029385759458440217,5,0.007863986928943606,-0.0021592142471639603
f_22,0.002693770548147256,0.0013791486065645496,0.005995677809548605,5,0.005533456590923127,-0.0001459154946286149
f_15,0.0026314137487821075,0.0016122639504123533,0.010890165821078107,5,0.005951087506537062,-0.0006882600089728472
f_33,0.0025919344681939018,0.0008602042378407796,0.0012643273649803777,5,0.004363106883194119,0.0008207620531936848
f_13,0.0025185442316935534,0.002690322164265882,0.05222060431620396,5,0.008057954752120913,-0.0030208662887338056
f_50,0.0024787006276538294,0.0005906871731483837,0.0003593568961341154,5,0.003694933681330697,0.0012624675739769619
f_11,0.0024424623806847067,0.0009683176475126076,0.0024321983280858966,5,0.004436241800485338,0.00044868296088407516
f_8,0.0024195963931525457,0.001684231169269232,0.01625768142901795,5,0.005887451649226485,-0.0010482588629213943
f_36,0.002411156716108609,0.0014923576787930623,0.01125081219246277,5,0.0054839418033186494,-0.0006616283711014317
f_25,0.002407541446659267,0.0014976688695977432,0.01143457046542002,5,0.005491262349144603,-0.0006761794558260694
f_30,0.002348504164735421,0.0012738460199052189,0.007291419592260821,5,0.004971370726143311,-0.00027436239667246983
f_18,0.0023311817312681392,0.001063522694857535,0.004018140550459037,5,0.004520989659425569,0.00014137380311070877
f_51,0.002263150859240093,0.0009668573028674926,0.003183072976788946,5,0.004253923409232325,0.00027237830924786146
f_21,0.0020895130841309894,0.001298474636378273,0.01139636897873101,5,0.004763090307260553,-0.0005840641389985744
