,importance,stddev,p_value,n,p99_high,p99_low
f_4,3.9460854676547292,0.7342556381397954,0.0001374412801653003,5,5.457927975075976,2.4342429602334823
f_1,2.081003971684786,0.5518110293235384,0.0005414949755890382,5,3.2171905079008876,0.9448174354686842
f_2,2.01181133947493,0.5394909672442882,0.0005652424666526846,5,3.1226306975885016,0.9009919813613585
f_13,1.3314597917116615,0.22852923833379052,0.00010017675449120633,5,1.8020046520506783,0.8609149313726447
f_3,1.1484868782002686,0.16434664960422532,4.8972820644892805e-05,5,1.4868789012474617,0.8100948551530756
f_12,0.9636320932716593,0.32363019592753545,0.0013215608787977273,5,1.6299911397311169,0.2972730468122018
f_14,0.8937967162746503,0.171084599048497,0.00015351333005378306,5,1.246062270355957,0.5415311621933437
f_0,0.4679846937412718,0.1025516220187001,0.00025984701171965396,5,0.6791399008918214,0.25682948659072213
f_10,0.30202985991049575,0.03124310688125496,1.3546514454492402e-05,5,0.3663598488046273,0.2376998710163642
f_11,0.08273354555877263,0.0558416996701411,0.014787089953729435,5,0.19771237699390398,-0.032245285876358706
f_49,0.013320882276821499,0.0026992298710535006,0.00019168990840099352,5,0.01887863388864216,0.007763130665000841
f_17,0.012561069070266995,0.0024346512529931784,0.00016120366860487853,5,0.01757404965063633,0.00754808848989766
f_16,0.012305902717023032,0.0041202922745265805,0.0013066509561643555,5,0.02078964145876446,0.003822163975281602
f_50,0.012030375562203655,0.0062655894835826715,0.006355887218738637,5,0.02493131090855006,-0.0008705597841427506
f_44,0.011163092547049058,0.006378103939477853,0.0086704258326055,5,0.024295696713198686,-0.001969511619100568
f_32,0.010668266441302454,0.0025779012997662635,0.0003791348141326821,5,0.015976200847903625,0.005360332034701282
f_31,0.010534711873913905,0.003813728301999229,0.0017449005724135785,5,0.018387231159057132,0.0026821925887706797
f_40,0.010118063334214434,0.003632941910451113,0.0016928982924107288,5,0.017598340940426616,0.002637785728002254
f_35,0.009822054281373883,0.004866046448368923,0.005355782775124843,5,0.019841311174474758,-0.00019720261172699247
f_53,0.00944647866475402,0.002441071615018978,0.0004905832575061729,5,0.014472678859273308,0.004420278470234732
f_27,0.009179872442865711,0.006357030183804103,0.01600301782603152,5,0.022269085454812827,-0.003909340569081406
f_23,0.008508188443206244,0.003386869368594605,0.002468421405594894,5,0.01548179928465191,0.0015345776017605776
f_9,0.00811608570676573,0.0022942319146566042,0.0006909302453278748,5,0.012839940928698551,0.0033922304848329077
f_54,0.008044486114993098,0.004011667654393557,0.005478385975921084,5,0.016304565262528832,-0.00021559303254263355
f_38,0.007319279459495565,0.006689341343778786,0.03535034853272654,5,0.021092725742858892,-0.006454166823867763
f_37,0.007285394365231035,0.005845122687992884,0.02473046828535923,5,0.019320582767989362,-0.004749794037527292
f_43,0.007160151720801045,0.006088040029841844,0.029097904533523768,5,0.019695510287900845,-0.005375206846298756
f_24,0.007101675743580227,0.001051884038432456,5.6106228666057336e-05,5,0.009267519517295092,0.0049358319698653615
f_15,0.00707899984121615,0.0018173389606899327,0.00047841611407668864,5,0.0108209258795705,0.0033370738028617986
f_36,0.006416566951117442,0.002062826123610737,0.0011225971816308169,5,0.010663954450918898,0.0021691794513159866
f_25,0.006379427490323164,0.001964134256978526,0.0009544406298926117,5,0.01042360707266234,0.0023352479079839887
f_7,0.006122764321212981,0.0024167430956532213,0.002393765799675881,5,0.011098871758102306,0.0011466568843236562
f_45,0.005926230059078963,0.0017791093968133078,0.0008677847679851755,5,0.009589440897022619,0.002263019221135308
f_41,0.005358970127978158,0.0022547816608255397,0.0030139505967768294,5,0.010001596732012365,0.0007163435239439511
f_42,0.005336066491752223,0.0010682637932235071,0.00018287385095734434,5,0.007535636406974133,0.0031364965765303125
f_6,0.004857151932679082,0.0018764519860732373,0.0022139605146291107,5,0.008720792507326495,0.0009935113580316697
