,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.40742753240863705,mean_absolute_percentage_error,0.03288626670837402,98.8129334449768,0.001001596450805664,0.09779548645019531,2,True,8
1,CatBoost,-0.4074776041955587,mean_absolute_percentage_error,0.024398088455200195,98.58240509033203,0.024398088455200195,98.58240509033203,1,True,4
2,XGBoost,-1.0055622976462788,mean_absolute_percentage_error,0.007486581802368164,0.13273286819458008,0.007486581802368164,0.13273286819458008,1,True,7
3,RandomForestMSE,-1.033660360848286,mean_absolute_percentage_error,0.09387016296386719,5.3728883266448975,0.09387016296386719,5.3728883266448975,1,True,3
4,ExtraTreesMSE,-1.1574932057338505,mean_absolute_percentage_error,0.06337165832519531,1.4141638278961182,0.06337165832519531,1.4141638278961182,1,True,5
5,NeuralNetFastAI,-1.2388470595304562,mean_absolute_percentage_error,0.021492958068847656,2.8265116214752197,0.021492958068847656,2.8265116214752197,1,True,6
6,KNeighborsDist,-2.1692077721328067,mean_absolute_percentage_error,0.01048135757446289,0.032524824142456055,0.01048135757446289,0.032524824142456055,1,True,2
7,KNeighborsUnif,-2.173595547170988,mean_absolute_percentage_error,0.03445076942443848,0.04725337028503418,0.03445076942443848,0.04725337028503418,1,True,1
