,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.2673685395305201,mean_absolute_percentage_error,0.056543827056884766,241.40120339393616,0.0009942054748535156,0.09788870811462402,2,True,10
1,CatBoost,-0.2815210933568582,mean_absolute_percentage_error,0.008979082107543945,228.88232970237732,0.008979082107543945,228.88232970237732,1,True,6
2,LightGBMXT,-0.4197545105987624,mean_absolute_percentage_error,0.03148388862609863,10.014660120010376,0.03148388862609863,10.014660120010376,1,True,3
3,NeuralNetFastAI,-0.472925476591338,mean_absolute_percentage_error,0.015086650848388672,2.406324863433838,0.015086650848388672,2.406324863433838,1,True,8
4,LightGBM,-0.5356176962355331,mean_absolute_percentage_error,0.01148080825805664,4.05616307258606,0.01148080825805664,4.05616307258606,1,True,4
5,ExtraTreesMSE,-0.7659319524210063,mean_absolute_percentage_error,0.0794677734375,1.2972354888916016,0.0794677734375,1.2972354888916016,1,True,7
6,RandomForestMSE,-0.8501463188734206,mean_absolute_percentage_error,0.09207820892333984,4.3312883377075195,0.09207820892333984,4.3312883377075195,1,True,5
7,XGBoost,-0.922175867946805,mean_absolute_percentage_error,0.008726835250854492,0.08968424797058105,0.008726835250854492,0.08968424797058105,1,True,9
8,KNeighborsDist,-1.5918854840534755,mean_absolute_percentage_error,0.005491733551025391,0.019016265869140625,0.005491733551025391,0.019016265869140625,1,True,2
9,KNeighborsUnif,-1.5924444544519276,mean_absolute_percentage_error,0.0727546215057373,0.03662610054016113,0.0727546215057373,0.03662610054016113,1,True,1
