,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,-1.0595408436733076,mean_absolute_percentage_error,0.00781702995300293,0.09294891357421875,0.00781702995300293,0.09294891357421875,1,True,7
1,WeightedEnsemble_L2,-1.0595408436733076,mean_absolute_percentage_error,0.008851289749145508,0.1786971092224121,0.0010342597961425781,0.08574819564819336,2,True,8
2,ExtraTreesMSE,-1.9784591186346048,mean_absolute_percentage_error,0.1252732276916504,1.3580269813537598,0.1252732276916504,1.3580269813537598,1,True,5
3,CatBoost,-2.2010373713232916,mean_absolute_percentage_error,0.012479543685913086,59.112679958343506,0.012479543685913086,59.112679958343506,1,True,4
4,RandomForestMSE,-2.4704913576152885,mean_absolute_percentage_error,0.1413404941558838,5.236832618713379,0.1413404941558838,5.236832618713379,1,True,3
5,NeuralNetFastAI,-2.636753163463901,mean_absolute_percentage_error,0.020957469940185547,2.5233640670776367,0.020957469940185547,2.5233640670776367,1,True,6
6,KNeighborsDist,-3.055184762516048,mean_absolute_percentage_error,0.007050752639770508,0.029557228088378906,0.007050752639770508,0.029557228088378906,1,True,2
7,KNeighborsUnif,-3.0582415556433444,mean_absolute_percentage_error,0.034195661544799805,0.04357457160949707,0.034195661544799805,0.04357457160949707,1,True,1
