,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.8519337362796019,mean_absolute_percentage_error,0.14883899688720703,251.87387657165527,0.001982450485229492,0.10895156860351562,2,True,10
1,LightGBM,-0.9626060891706697,mean_absolute_percentage_error,0.0039865970611572266,1.667067050933838,0.0039865970611572266,1.667067050933838,1,True,4
2,LightGBMXT,-1.0143987205647407,mean_absolute_percentage_error,0.0049860477447509766,2.008566379547119,0.0049860477447509766,2.008566379547119,1,True,3
3,XGBoost,-1.0596521301806052,mean_absolute_percentage_error,0.0069806575775146484,3.4154248237609863,0.0069806575775146484,3.4154248237609863,1,True,9
4,CatBoost,-1.1616642289227754,mean_absolute_percentage_error,0.0255429744720459,245.23822593688965,0.0255429744720459,245.23822593688965,1,True,6
5,RandomForestMSE,-1.532880127134816,mean_absolute_percentage_error,0.12650465965270996,5.138189315795898,0.12650465965270996,5.138189315795898,1,True,5
6,ExtraTreesMSE,-1.747437484623272,mean_absolute_percentage_error,0.11034631729125977,1.4442071914672852,0.11034631729125977,1.4442071914672852,1,True,7
7,NeuralNetFastAI,-1.827317402593708,mean_absolute_percentage_error,0.01361227035522461,2.6438076496124268,0.01361227035522461,2.6438076496124268,1,True,8
8,KNeighborsUnif,-6.296818575966118,mean_absolute_percentage_error,0.07827949523925781,0.02841019630432129,0.07827949523925781,0.02841019630432129,1,True,1
9,KNeighborsDist,-6.360835717196895,mean_absolute_percentage_error,0.005505561828613281,0.01496744155883789,0.005505561828613281,0.01496744155883789,1,True,2
