,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-1.3452218487315846,mean_absolute_percentage_error,0.09174370765686035,155.73926186561584,0.0019516944885253906,0.07512354850769043,2,True,8
1,XGBoost,-1.3855988119484781,mean_absolute_percentage_error,0.008498191833496094,0.12398648262023926,0.008498191833496094,0.12398648262023926,1,True,7
2,CatBoost,-1.5495357128601603,mean_absolute_percentage_error,0.059822797775268555,150.5309543609619,0.059822797775268555,150.5309543609619,1,True,4
3,NeuralNetFastAI,-1.8985520557661524,mean_absolute_percentage_error,0.021471023559570312,5.009197473526001,0.021471023559570312,5.009197473526001,1,True,6
4,KNeighborsUnif,-2.6496859101342274,mean_absolute_percentage_error,0.26460814476013184,5.205154657363892,0.26460814476013184,5.205154657363892,1,True,1
5,KNeighborsDist,-2.668390183336896,mean_absolute_percentage_error,0.004998207092285156,0.027716398239135742,0.004998207092285156,0.027716398239135742,1,True,2
6,ExtraTreesMSE,-3.5488606721879625,mean_absolute_percentage_error,0.09305500984191895,1.57460355758667,0.09305500984191895,1.57460355758667,1,True,5
7,RandomForestMSE,-4.060662561392079,mean_absolute_percentage_error,0.07796120643615723,4.367450475692749,0.07796120643615723,4.367450475692749,1,True,3
