,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.8514812362099674,mean_absolute_percentage_error,0.02953195571899414,2.6718356609344482,0.0025179386138916016,0.09088969230651855,2,True,8
1,NeuralNetFastAI,-1.079375978660448,mean_absolute_percentage_error,0.02052783966064453,2.50449800491333,0.02052783966064453,2.50449800491333,1,True,6
2,XGBoost,-1.2532439000486488,mean_absolute_percentage_error,0.006486177444458008,0.07644796371459961,0.006486177444458008,0.07644796371459961,1,True,7
3,CatBoost,-7.505690736446654,mean_absolute_percentage_error,0.005741596221923828,167.20267987251282,0.005741596221923828,167.20267987251282,1,True,4
4,KNeighborsDist,-8.742612934603349,mean_absolute_percentage_error,0.005500316619873047,0.018420934677124023,0.005500316619873047,0.018420934677124023,1,True,2
5,KNeighborsUnif,-8.92475044438729,mean_absolute_percentage_error,0.02323317527770996,0.02292156219482422,0.02323317527770996,0.02292156219482422,1,True,1
6,ExtraTreesMSE,-10.858739859872703,mean_absolute_percentage_error,0.10884666442871094,1.2783112525939941,0.10884666442871094,1.2783112525939941,1,True,5
7,RandomForestMSE,-13.165891479307566,mean_absolute_percentage_error,0.07937860488891602,4.789497137069702,0.07937860488891602,4.789497137069702,1,True,3
